Utterance,Original_Labels,DeepSeek
"Hey, so uh, y'know how there's something I wanted to talk to you about? (neutral)",Question,Greeting
Oh yeah! (joy),Answer,Backchannel
"Well, y'know how I'm trying to work things out with Emily. (joy)",Statement Non Opinion,Statement Non Opinion
"Well, there's this one thing... Okay, here goes. (neutral)",Statement Non Opinion,Statement Non Opinion
I made a promise that--Oh hey! (surprise),Others,Statement Non Opinion
What? (neutral),Question,Question
You're nose is bleeding! (surprise),Answer,Statement Non Opinion
Oh God. (sadness),Others,Acknowledge
No! (sadness),Statement Non Opinion,Disagreement
Oh not again! (anger),Statement Non Opinion,Statement Opinion
This-this happened when my grandfather died. (sadness),Statement Non Opinion,Statement Non Opinion
It's ugh! (disgust),Others,Statement Opinion
Sorry. (sadness),Apology,Apology
"Oh, okay, so I'm sorry, what-what were you-what did you want to tell me? (neutral)",Question,Apology
Umm (neutral),Backchannel,Backchannel
Sorry. Sorry. (sadness),Apology,Apology
"Okay, I uh, I can't see you anymore. (sadness)",Statement Non Opinion,Statement Non Opinion
"Yeah, I know. It's ridiculous! I can't see you either. (neutral)",Agreement,Agreement
Not yet! Not yet! Not yet! Not yet! Not yet! Not yet! Not yet! Not yet! (fear),Others,Statement Non Opinion
"Hello, Chip. (neutral)",Greeting,Greeting
"Hey, Rach! How ya doin'? (joy)",Question,Greeting
I'm great! I'm great. I've got a great job at (joy),Answer,Statement Opinion
"So ah, Monica ready yet? (neutral)",Question,Question
"She'll be out in a second. So, Chip, how's umm, Amy Welch? (neutral)",Answer,Question
"Amy Welch? Wow! I haven't seen her since... So, Monica about ready? (surprise)",Question,Question
"That's right, I love you! And-and I'm gonna play with you all the time. (joy)",Statement Non Opinion,Statement Opinion
How can you let him talk to your crotch like that? (surprise),Question,Question
He's talking to the baby. (neutral),Answer,Statement Non Opinion
Ohh! (surprise),Others,Backchannel
Okay! (surprise),Agreement,Backchannel
"Okay, cause when-when he said, ""I can't wait to hear your first words,"" I thought, ""There's a trick."" (surprise)",Statement Opinion,Statement Opinion
"Okay. Well, I gotta go you guys. I'll see you later. (neutral)",Statement Non Opinion,Statement Non Opinion
Okay. (neutral),Agreement,Acknowledge
"Oh my, oh my God! (surprise)",Others,Statement Non Opinion
"Aw, it's unbelievable! (surprise)",Statement Non Opinion,Statement Opinion
Wow! (surprise),Others,Backchannel
She is kicking so much! (surprise),Statement Non Opinion,Statement Non Opinion
"Oh, she's like umm...oh...who's that kind of annoying girl soccer player? (joy)",Question,Statement Opinion
Mia Hamm? (neutral),Answer,Question
Mia Hamm! (joy),Agreement,Acknowledge
Oh that's amazing. (joy),Statement Non Opinion,Agreement
Oh-oh!! One hand on the sheet Joe! (surprise),Statement Non Opinion,Command
Whoa-hey-oh! Sorry! (surprise),Apology,Apology
"Okay, what do you guys think? (neutral)",Question,Question
Dude! (surprise),Statement Non Opinion,Acknowledge
I have never known love like this. (sadness),Statement Opinion,Statement Opinion
You really like it? (surprise),Question,Question
Dude! How-how did you write this? (surprise),Question,Question
I stole Monica's and changed the name. (neutral),Answer,Statement Non Opinion
You can't (neutral),Disagreement,Disagreement
If he goes first he can! (joy),Statement Non Opinion,Statement Opinion
Yeah! (anger),Others,Acknowledge
"Anyway, I-I still think we should try to patch things up, y'know? (neutral)",Statement Non Opinion,Statement Opinion
"Like uh, maybe we could get him to get tickets to another Knicks game and invite him. (neutral)",Statement Opinion,Statement Non Opinion
Oh wow that's a great idea! And (joy),Statement Opinion,Agreement
Here you go. (neutral),Statement Non Opinion,Statement Non Opinion
"Hey-hey-hey-ho-ho, I got this one. (joy)",Statement Non Opinion,Statement Non Opinion
Here you go. (neutral),Statement Non Opinion,Statement Non Opinion
"Y'know I gotta tell ya, sometimes I just--I don't get Chandler. (neutral)",Statement Non Opinion,Statement Opinion
"Y'know, me and him do stuff all the time without you and you don't get all upset. (neutral)",Statement Non Opinion,Statement Non Opinion
All the time? (sadness),Question,Question
All the time! (anger),Answer,Disagreement
"Cassie, how you-how you doin' on that...hot dog. (neutral)",Question,Question
I'm all done. (neutral),Answer,Answer
Thank God. (joy),Others,Acknowledge
I guess the last time we really hung out was when our parents rented that beach house together. (neutral),Statement Non Opinion,Statement Non Opinion
Oh right. (neutral),Acknowledge,Acknowledge
Right. (neutral),Agreement,Acknowledge
"Ooh, remember the time I uh, I pinned you down and tickled you 'til you cried? (joy)",Statement Non Opinion,Statement Opinion
We're probably too old to do that now. (sadness),Statement Non Opinion,Statement Opinion
"I'll always remember that summer, because it's when I got all of these freckles. (joy)",Statement Opinion,Statement Opinion
Uh-huh! Uh-huh! And-and-and I'll always remember that summer because that's when I realized that we are related. (joy),Statement Opinion,Statement Opinion
"It took you that long to figure it out, huh? (surprise)",Question,Question
"Well I'm, I'm a little slow. Just as our children would be. (neutral)",Answer,Statement Opinion
Relax every muscle in your body. (neutral),Command,Command
Listen to the plinky-plunky music. (neutral),Command,Command
"Okay, now close you eyes, and think of a happy place. (neutral)",Command,Command
"Okay, tell me your happy place. (neutral)",Question,Question
"Richard's living room, drinking wine. (joy)",Answer,Statement Opinion
"All right. No, no, no, not a Richard thing, just put down the glass. And get out! (anger)",Disagreement,Command
"I'm sorry, but that's my happy place. (sadness)",Apology,Statement Opinion
"Well, okay, fine, use my happy place. (neutral)",Statement Opinion,Statement Non Opinion
"Okay, I'm just gonna, I have to ask that you don't move anything. (neutral)",Command,Command
"All right, I'll try not to. (neutral)",Agreement,Agreement
"Okay, all right, so, your in a meadow, millions of stars in the sky.... (neutral)",Statement Non Opinion,Statement Non Opinion
Do you think breaking up with him was a huge mistake? (sadness),Question,Question
"All right, there are no questions in the happy place. Okay, just, the warm breeze, and the moonlight flowing through the trees.... (joy)",Answer,Statement Non Opinion
"I'll bet he's totally over me, I'll bet he's fine. (sadness)",Disagreement,Statement Opinion
"All right, betting and wagering of any kind, are, I'm sure, not permitted in the happy place. (neutral)",Statement Non Opinion,Statement Non Opinion
Okay. (neutral),Agreement,Acknowledge
"Just-just, you know, the-the lovely waterfalls, and the, the trickling fountains. (joy)",Question,Statement Non Opinion
And the-the calming sounds of the babbling brook.... (neutral),Question,Statement Non Opinion
"Okay, this isn't working. I'm still awake and now I have to pee. (disgust)",Answer,Statement Opinion
"OK sweetie, I'll see you later. (neutral)",Statement Non Opinion,Acknowledge
See you later Rach. (neutral),Statement Non Opinion,Acknowledge
Bye-bye Julie. (neutral),Greeting,Greeting
Hey. (neutral),Greeting,Greeting
Hey. (neutral),Greeting,Greeting
"Hey, c'mon, cut it out. (joy)",Command,Command
Hey? (neutral),Question,Greeting
What? (neutral),Question,Question
Can I ask you somethin'? (neutral),Question,Question
"Hey Rach, wanna hear the new song I'm thinkin' of singing this afternoon? I wrote it this morning in the shower. (joy)",Statement Non Opinion,Greeting
Ok. (neutral),Agreement,Acknowledge
"Uh, Rachel, sweetheart, could I see ya for a minute? (neutral)",Question,Greeting
What's up? (neutral),Question,Question
F.Y.I.. (neutral),Statement Non Opinion,Statement Non Opinion
I've decided to pay a professional musician to play in here on Sunday afternoons. (neutral),Statement Non Opinion,Statement Non Opinion
Her name is Stephanie... something. (neutral),Statement Non Opinion,Statement Non Opinion
She's supposed to be very good. (neutral),Statement Opinion,Statement Opinion
But what about Phoebe? (surprise),Question,Question
"Rachel, it's not that your friend is bad, it's that she's so bad, she makes me want to put my finger through my eye into my brain and swirl it around. (disgust)",Answer,Statement Opinion
"Ok, ok, so you're not a fan, but I mean, come on, you cannot do this to her. (sadness)",Disagreement,Disagreement
Uh... (neutral),Others,Backchannel
"Oh, no no no no. Oh no no no no. I have to do this to her? (fear)",Question,Statement Opinion
"Ahh, no. (sadness)",Answer,Disagreement
Oh. (neutral),Others,Acknowledge
Are you jealous? (surprise),Question,Question
"Noo, I y'know I don't see why she has to play with you, that's all. (anger)",Answer,Statement Opinion
I mean doesn't she have any y'know other stripper moms friends of her own? (anger),Statement Non Opinion,Statement Opinion
You are totally jealous. (joy),Statement Opinion,Statement Opinion
I'm not jealous. (anger),Disagreement,Disagreement
"All right this is about, umm, people feeling certain things y'know about strippers. (neutral)",Statement Opinion,Statement Non Opinion
"And y'know, and um, I... (neutral)",Statement Non Opinion,Backchannel
"Honey, I love you too. (neutral)",Statement Non Opinion,Statement Opinion
"Ugh. Wait, wait, wait. (sadness)",Others,Acknowledge
What? (surprise),Question,Question
Huh. (surprise),Others,Acknowledge
"Well, there's a kiss that he won't forget for a couple of hours, y'know. (joy)",Statement Opinion,Statement Opinion
"Yeah. Either that, or you just turned him on and sent him off to a stripper. (neutral)",Agreement,Statement Opinion
I can't believe you came back. (surprise),Acknowledge,Statement Non Opinion
Don't say anything. (joy),Command,Command
"I don't wanna speak, I don't wanna think. (neutral)",Statement Non Opinion,Statement Non Opinion
"I just want you to take me and kiss me and make love to me right here, right now. (joy)",Statement Non Opinion,Statement Opinion
Rachel! Rachel! (joy),Others,Greeting
What? (neutral),Question,Question
You missed the exit! (surprise),Answer,Statement Non Opinion
"Oh, sorry. (neutral)",Apology,Apology
"My God, what were you thinking about? (surprise)",Question,Question
"Um, Barry. (neutral)",Answer,Answer
Awwwww (joy),Backchannel,Backchannel
"I just--I thought you guys were doing it, I didn't know you were in love! (surprise)",Statement Non Opinion,Statement Opinion
Dude! (joy),Greeting,Backchannel
And hats off to Phoebe. Quite a competitor. And might I say your breasts are still showing. (joy),Statement Non Opinion,Statement Opinion
God! (surprise),Backchannel,Backchannel
All right! So that's it! It's over! Everybody knows! (joy),Statement Non Opinion,Statement Opinion
"Well actually, Ross doesn't. (neutral)",Statement Non Opinion,Statement Non Opinion
"Yes, and we'd appreciate it if no one told him yet. (neutral)",Agreement,Command
Dear Mary-Angela. (neutral),Greeting,Greeting
Hi. (neutral),Greeting,Greeting
How?s it going. (neutral),Question,Question
This is the hardest letter I?ve ever had to write. (sadness),Statement Opinion,Statement Non Opinion
What the hell?s a matter with you? (disgust),Question,Question
How do you think Joey?s going to react when he finds out that you blew off his sister with a letter? (anger),Question,Question
"Well, that?s the part where you tell him that I moved to France. When actually I?ll be in Cuba. (neutral)",Statement Non Opinion,Statement Non Opinion
"All right, look, look, you?ve got to do this yourself, okay in person. (neutral)",Command,Command
At least you know her name. (neutral),Statement Non Opinion,Statement Non Opinion
"You just go to the house and you ask for Mary-Angela, okay, when which ever one she is comes to the door, you take her for a walk, you let her down easy. (neutral)",Statement Non Opinion,Command
What if Mary-Angela comes to the door and I ask for Mary-Angela? (fear),Question,Question
Where in Cuba? (sadness),Question,Question
Hey. (neutral),Greeting,Greeting
"You uh, you may have been right about Jill. (sadness)",Agreement,Statement Opinion
Oh! I knew it! What happened? (surprise),Question,Question
"Umm, she kissed me. (sadness)",Answer,Statement Non Opinion
What?! You kissed! (surprise),Question,Question
All right. (neutral),Agreement,Acknowledge
"Okay, here you go. I have two queens, what do you have? (neutral)",Question,Statement Non Opinion
A two and a five. (neutral),Answer,Statement Non Opinion
"Ho-ho, you win! 50 dollars! (joy)",Statement Non Opinion,Statement Opinion
Really?! (surprise),Backchannel,Question
"Oh yeah! Okay, let's play again. What do you got? (neutral)",Question,Statement Non Opinion
A four and a nine. (neutral),Answer,Statement Non Opinion
You're kidding right? (surprise),Question,Question
No. Why? (neutral),Answer,Answer
Well that's a full cup! (surprise),Answer,Statement Opinion
Damn! I am good at Cups! (joy),Statement Opinion,Statement Opinion
What? Why? Where are you? (surprise),Question,Question
I'm still on the set! (neutral),Answer,Statement Non Opinion
Joey! The wedding is in less than an hour! (anger),Statement Non Opinion,Statement Opinion
"I know! I'm sorry! The guy's drunk, they won't let me go until we get this. (sadness)",Apology,Apology
Oh my God! I'm gonna have to find another minister. (sadness),Statement Non Opinion,Statement Opinion
"No! No, I'm the minister! Alright, look-look, put 'em both on the phone, I'll marry them right now. (anger)",Disagreement,Command
"Ugh! Joey, I have to go. (sadness)",Statement Non Opinion,Statement Non Opinion
Hey! Don't you hang up on me! I'll marry you and me right now! I have the power! (anger),Statement Non Opinion,Command
Oh hey Joey! What's up? (joy),Greeting,Greeting
"I can't decide which route to take to Vegas. Hey, you've traveled a lot right? (neutral)",Question,Question
"Yeah, I've been around. (neutral)",Answer,Answer
"Okay, so-so which route should I take the northern route or the southern route? (neutral)",Question,Question
"Ooh, if you take the northern route there's a man in Illinois with a beard of bees. (neutral)",Answer,Statement Non Opinion
Great! Problem solved! (joy),Statement Non Opinion,Agreement
"Estelle, you gotta get me some work. I-I lost my health insurance. (sadness)",Command,Command
"All right, first thing we gotta do, damage control. (neutral)",Command,Statement Non Opinion
Why? (surprise),Question,Question
"Well, I think uhh, someone out there may have been bad mouthing you all over town. (sadness)",Answer,Statement Opinion
Bastard! (anger),Disagreement,Statement Opinion
You mean whenever Monica and Chandler where like y'know doing laundry or going grocery shopping or--Oh! (surprise),Statement Non Opinion,Statement Non Opinion
All that time Monica spent on the phone with sad Linda from camp! (surprise),Statement Non Opinion,Statement Non Opinion
"Uh-huh, doing it. Doing it. Phone doing it. (joy)",Others,Backchannel
"Oh, I can't believe it! (surprise)",Statement Non Opinion,Statement Opinion
I mean I think it's great! (joy),Statement Non Opinion,Statement Opinion
For him. (neutral),Others,Statement Non Opinion
She might be able to do better. (neutral),Statement Opinion,Statement Opinion
Hey guys! (neutral),Greeting,Greeting
Joey! Come here! Come here! (neutral),Command,Command
Phoebe just found out about Monica and Chandler. (neutral),Statement Non Opinion,Statement Non Opinion
You mean how they're friends and nothing more? (neutral),Question,Question
"No. Joey, she (neutral)",Answer,Statement Non Opinion
"Okay, so now they know that you know and they don't know that Rachel knows? (surprise)",Statement Non Opinion,Question
"Yes, but y'know what? (neutral)",Question,Acknowledge
It doesn't matter who knows what. (neutral),Answer,Statement Non Opinion
"Now, enough of us know that we can just tell them that we know! (neutral)",Statement Non Opinion,Statement Non Opinion
Then all the lying and the secrets would finally be over! (joy),Statement Non Opinion,Statement Opinion
"It's a tradition, like the parade. If the parade decided it was gay, moved out, and abandoned its entire family. (neutral)",Statement Non Opinion,Statement Non Opinion
"Y'know, you're friend's getting married, it's gotta change things. (neutral)",Statement Non Opinion,Statement Opinion
You really think it would be that different? (surprise),Question,Question
How could it not be? (surprise),Question,Question
"I mean pretty soon they're gonna be having kids, and then they're just gonna be hanging out with other couples who have kids. (sadness)",Answer,Statement Opinion
And then maybe they're gonna have to leave the city to be near a (sadness),Statement Non Opinion,Statement Opinion
"Well, things change. (neutral)",Agreement,Statement Non Opinion
I don't want them to move to a (sadness),Statement Non Opinion,Statement Opinion
It'll be okay Joe. (neutral),Statement Non Opinion,Statement Non Opinion
Its still there! (surprise),Question,Statement Non Opinion
Mrs. Braverman must be out. (neutral),Answer,Statement Non Opinion
She could be out of town. Maybe she'll be gone for months. (sadness),Statement Non Opinion,Statement Opinion
"By then, the cheesecake may have gone bad. We don't want her to come back to bad cheesecake. (fear)",Statement Non Opinion,Statement Opinion
No that could kill her. (fear),Statement Non Opinion,Statement Opinion
"Well, we don't want that. (neutral)",Statement Non Opinion,Agreement
"No, so we're protecting her. (neutral)",Statement Opinion,Statement Non Opinion
But we should take it. (neutral),Statement Non Opinion,Statement Opinion
But we should move quick. (fear),Statement Non Opinion,Statement Opinion
Why? (surprise),Question,Question
Because I think I just heard her moving around in there. (fear),Answer,Statement Opinion
Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! (fear),Command,Command
"Hey, Kicky. What're you doing? (neutral)",Question,Greeting
Just trying to get comfortable. I can't sleep in my underwear. (neutral),Answer,Statement Non Opinion
"Well, you're gonna. (neutral)",Statement Non Opinion,Statement Non Opinion
"I've been thinking. Y'know, about how I'm always seeing girls on top of girls... (neutral)",Statement Opinion,Statement Non Opinion
"Are they end to end, or tall like pancakes? (neutral)",Question,Question
"Y'know what I mean, about how I'm always going out with all these women. (neutral)",Answer,Statement Non Opinion
"And I always figured, when the right one comes along, I'd be able to be a stand-up guy and go the distance, y'know? (sadness)",Question,Statement Opinion
"Now I'm looking at my dad, thinking... (neutral)",Answer,Statement Non Opinion
"Hey, you're not him. (neutral)",Statement Opinion,Statement Non Opinion
You're you. (neutral),Statement Opinion,Statement Non Opinion
"When they were all over you to go into your father's pipe-fitting business, did you cave? (neutral)",Question,Question
No. (neutral),Answer,Answer
No. (neutral),Answer,Acknowledge
You decided to go into the out-of-work actor business. (neutral),Statement Non Opinion,Statement Non Opinion
"Now that wasn't easy, but you did it! (neutral)",Acknowledge,Statement Opinion
"And I'd like to believe that when the right woman comes along, you will have the courage and the guts to say ""No thanks, I'm married."" (neutral)",Statement Opinion,Statement Opinion
You really think so? (joy),Question,Question
Yeah. I really do. (neutral),Answer,Answer
"Thanks, Chandler. (neutral)",Acknowledge,Acknowledge
Get off! (anger),Others,Command
Hi. (neutral),Greeting,Greeting
"Your Fettuccini Alfredo looks a little dry, did you use all your cheese? (neutral)",Question,Question
"When you say used, do you mean eat as a pre-cooking snack? (neutral)",Question,Question
And the cream? (neutral),Question,Question
Cheese makes me thirsty. (neutral),Answer,Statement Non Opinion
Okay. Let's move on. (neutral),Others,Command
All right. (neutral),Agreement,Acknowledge
Oh! Something smells good over at Monica's station! Oh my God! This is absolutely amazing! You've never made this before? (surprise),Question,Statement Opinion
Oh no! (surprise),Answer,Statement Non Opinion
I don't know anything about cooking. (neutral),Disagreement,Statement Non Opinion
"I had to ask someone what it's called when the, when the water makes those little bubbles. (neutral)",Statement Non Opinion,Statement Non Opinion
"Well, hats off to the chef. (joy)",Acknowledge,Statement Opinion
"I-I-I'm sorry, your-your mouth was full, I didn't hear what you said. Umm, hats off to who now? (neutral)",Question,Apology
The chef! (joy),Answer,Statement Opinion
That's right. (joy),Agreement,Agreement
"Hey, Pheebs. (neutral)",Greeting,Greeting
Hey. (neutral),Greeting,Greeting
How's it going? (neutral),Question,Question
Good. Oh oh! Roger's having a dinner thing and he wanted me to invite you guys. (joy),Answer,Statement Non Opinion
So what's going on? (neutral),Question,Question
"Nothing, um, it's just, um... It's Roger. (neutral)",Answer,Statement Non Opinion
"I dunno, there's just something about... (neutral)",Disagreement,Statement Non Opinion
Basically we just feel that he's... (neutral),Statement Non Opinion,Statement Non Opinion
We hate that guy. (disgust),Statement Opinion,Statement Opinion
Yeah. Hate him. (disgust),Disagreement,Agreement
"We're sorry, Pheebs, we're sorry. (sadness)",Apology,Apology
Uh-huh. (neutral),Others,Acknowledge
Okay. (neutral),Question,Acknowledge
"Okay, don't you think, maybe, though, it's just that he's so perceptive that it freaks you out? (neutral)",Statement Opinion,Question
"...No, we hate him. (disgust)",Disagreement,Disagreement
We're sorry. (sadness),Apology,Apology
Hey! (joy),Greeting,Greeting
Hey! (joy),Greeting,Greeting
What are you doing? (neutral),Question,Question
I'm sending back all this stuff that Chandler bought out of guilt. (neutral),Answer,Statement Non Opinion
Yes that was mine. (fear),Statement Non Opinion,Answer
Cause I figured you'd hooked up with some girl and she'd left it there. (neutral),Statement Non Opinion,Statement Non Opinion
Yes that would have made more sense. (sadness),Agreement,Agreement
"Y'know, I-I don't even feel like I know you anymore man! (anger)",Statement Opinion,Statement Opinion
"All right, look, I'm just gonna ask you this one time. (neutral)",Statement Non Opinion,Statement Non Opinion
"And whatever you say, I'll believe ya. (neutral)",Statement Non Opinion,Statement Non Opinion
"Were you, or were you not on a gay cruise? (anger)",Question,Question
"Oh hey! There's some kids playing in the street, you wanna go down there and give them a project, ruin their day? (anger)",Question,Command
"Hey, if they have a ball maybe you can stick razor blades in it and teach them a new game, Gonna Need Stitches Ball. (neutral)",Statement Opinion,Statement Non Opinion
She said what? (surprise),Question,Question
"She said, ""If I'm not gonna be happy getting married somewhere that we find in a day, well then we should just postpone it."" (neutral)",Answer,Statement Non Opinion
Postpone it? (joy),Others,Question
"Emily, do you think Monica realises how much our parents spent on this wedding? (anger)",Question,Question
"Do you my sister's teeny-tiny little brain comprehends that people took time out of their lives to fly thousands of miles to be here, huh? (anger)",Statement Non Opinion,Question
This isn't right. (neutral),Disagreement,Statement Non Opinion
"I realize that people are going to be disappointed. But, I'm sure they'll come back when we can do it right. (sadness)",Statement Non Opinion,Statement Opinion
I can't ask people to do that? Would you ask people to do that? (anger),Question,Question
Don't you point your pants at me! (anger),Statement Non Opinion,Command
We have no choice! (anger),Answer,Statement Non Opinion
"Anywhere that's half-decent would've be booked months ago, Ross don't you understand? (anger)",Question,Question
This is our wedding I'm talking about. (anger),Statement Non Opinion,Statement Non Opinion
The only thing I understand is postponing it is not an option. This is when we're getting married. (neutral),Statement Non Opinion,Statement Non Opinion
So what are you saying? It's now or never? (anger),Question,Question
No. I'm saying it's now. (neutral),Answer,Statement Non Opinion
Or? (anger),Question,Question
There's no 'or' in mind. What is wrong with these pants?!! (anger),Answer,Question
It's not the pants. (anger),Answer,Statement Non Opinion
It's you that is backwards. (anger),Statement Non Opinion,Statement Non Opinion
"And if, and if you don't understand how important this is to me, well then, perhaps we shouldn't get married at all! (anger)",Statement Opinion,Statement Opinion
"No, wait! Emily! No, wait, stop! Emily, please-- (sadness)",Command,Acknowledge
"Hi, honey. (neutral)",Greeting,Greeting
See you later. (neutral),Disagreement,Statement Non Opinion
"What? I-I bought groceries, I was gonna make you dinner! (joy)",Question,Statement Opinion
Well next time ask! Or at least wait for me to ask! (anger),Answer,Command
"Hi, this is Heldi from the Morgan Chase museum. I'm calling for Monica Geller. (neutral)",Statement Non Opinion,Greeting
Oh no! (surprise),Others,Acknowledge
"I want to let her know that there was a cancellation and if she's still interested in having the Bing-Geller wedding at our facility, it is available (neutral)",Statement Non Opinion,Statement Non Opinion
"Oh please, he didn't hear it! He didn't hear it!! (fear)",Statement Non Opinion,Acknowledge
This is Chandler Bing! This is Chandler Bing! (surprise),Statement Non Opinion,Statement Non Opinion
NOOOO!!!!!!!! (anger),Backchannel,Disagreement
Ma! What're you doing here? (surprise),Question,Question
I came to give you this and this. (neutral),Answer,Statement Non Opinion
Oww! Big ring! (surprise),Others,Statement Opinion
"Yeah, all the time. I want the baby to know my voice. (neutral)",Statement Non Opinion,Answer
"Do you uh, do you talk about me? (neutral)",Question,Question
"Yeah, yeah, all the time. (neutral)",Answer,Answer
Really? (surprise),Question,Question
"But um, we just refer to you as Bobo the Sperm Guy. (neutral)",Answer,Statement Non Opinion
Would you look at this dump? He hated us. This is his final revenge! (disgust),Statement Opinion,Statement Opinion
Have you ever seen so much crap? (disgust),Question,Question
"Actually, I think this apartment sullies the good name of crap (anger)",Answer,Statement Opinion
Check this out. Can I have this? (neutral),Question,Command
What? (neutral),Question,Question
"I'm at work, ordinary day, you know, chop chop chop, sauti, sauti, sauti. (neutral)",Answer,Statement Non Opinion
"All of a sudden, Leon, the manager, calls me into his office. (neutral)",Statement Non Opinion,Statement Non Opinion
"It turns out they fired the head lunch chef, and guess who got the job. (joy)",Question,Statement Opinion
"If it's not you, this is a horrible story. (sadness)",Answer,Statement Opinion
"Fortunately, it is me. (joy)",Statement Non Opinion,Statement Opinion
"And, they made me head of purchasing, thank you very much. (joy)",Statement Non Opinion,Statement Opinion
"Anyway, I just ran into Ross and Chandler downstairs, and they think we should go out and celebrate. (joy)",Statement Opinion,Statement Opinion
"Y'know, someplace nice. (neutral)",Question,Statement Non Opinion
"Yeah, someplace nice. (neutral)",Answer,Agreement
Yeah! (joy),Others,Acknowledge
How much do you think I can get for my kidney? (neutral),Question,Question
"So, what do you think? (neutral)",Question,Question
I think It's the most beautiful table I've ever seen. (joy),Answer,Statement Opinion
I know! (joy),Agreement,Agreement
"So how does this work, you going to balance the plates on these little guys' heads? (neutral)",Question,Question
"Who cares, we'll eat at the sink! Come on, let's play! (joy)",Command,Command
Heads up Ross! Score! You suck! (joy),Others,Statement Non Opinion
Thank you. Just make yourself comfortable. (neutral),Others,Command
Gotcha. (neutral),Backchannel,Acknowledge
This place is really my Grandmother's. (neutral),Statement Non Opinion,Statement Non Opinion
"I got it from her when she moved to Florida, otherwise I could never afford a place like this. (neutral)",Statement Non Opinion,Statement Non Opinion
"So if the landlord ever asks, I'm 87 year old woman, who's afraid of her VCR. (neutral)",Statement Non Opinion,Statement Non Opinion
So are you thirsty? (neutral),Question,Question
"Oh, you bet I am! (joy)",Answer,Agreement
"Okay, here's your penis! (surprise)",Statement Non Opinion,Statement Non Opinion
"Ohh, okay. (neutral)",Others,Acknowledge
"Oh my God, what a great surprise! This is such a beautiful house. (joy)",Statement Opinion,Statement Opinion
"Thank you, it's my mom's. So this is the kitchen. (neutral)",Statement Non Opinion,Answer
"Hey, ready for dinner? (neutral)",Question,Greeting
"Ooh, absolutely! (joy)",Agreement,Agreement
Great! How about you wanted to go the Italian place down on Bleaker Street right? (joy),Question,Question
"Ooh, I love that place! So, no. (neutral)",Answer,Disagreement
How about Mama Lisettie's? (neutral),Question,Question
Enh. Sure! (neutral),Answer,Agreement
I wonder how long that milk has been setting out. (disgust),Statement Non Opinion,Statement Non Opinion
"Oh, no-no, this place is totally healthy! (neutral)",Statement Non Opinion,Statement Opinion
That--this milk is mine. (neutral),Statement Non Opinion,Statement Non Opinion
"I bought this today, 'cause I was thirsty for milk, y'know. (neutral)",Statement Non Opinion,Statement Non Opinion
"Okay, let's go! (joy)",Command,Command
"Hey, buddy! Are you familiar with Section 11-B of the Health Code that requires all refuse material out the (anger)",Statement Non Opinion,Question
But then I'd have to go all the way around the dry cleaner place. (neutral),Statement Non Opinion,Statement Non Opinion
"Oh, so you're saying you'd choose convenience over health?! (disgust)",Question,Question
"Okay, stop! (anger)",Statement Non Opinion,Command
"Larry, okay, can't you just be Larry and not Larry the health inspector guy? (neutral)",Statement Non Opinion,Question
"Y'know I mean it was really exciting at first but now it's like, okay, so where are we gonna eat ever? (anger)",Statement Non Opinion,Statement Opinion
"Well, I suppose I could give him a warning. (neutral)",Statement Non Opinion,Statement Non Opinion
Thank you. (joy),Greeting,Acknowledge
Go! (neutral),Command,Command
Go! (anger),Command,Command
"Now, if after dinner you still really need to bust someone, I know a hot dog vendor who picks his nose. (disgust)",Statement Non Opinion,Statement Opinion
"No! No! Phoebe, come on! I don't want to switch! Please come on! I can throw wet paper towels here! (sadness)",Others,Disagreement
No but at Monica's you can eat cookies over the sink! (joy),Disagreement,Statement Opinion
I know. I'm sorry. (sadness),Apology,Apology
All right fine! This looks like so much fun. (neutral),Statement Non Opinion,Agreement
Yeah. (neutral),Agreement,Backchannel
"God, what a mess. (neutral)",Statement Non Opinion,Statement Non Opinion
"Tell us what happened, Brown Bird Ross. (neutral)",Question,Command
"Well, I lost. (sadness)",Answer,Statement Non Opinion
"Some little girl loaned her uniform to her nineteen year old sister, who went down to the U.S.S. (sadness)",Statement Non Opinion,Statement Non Opinion
"Nimitz, and sold over 2,000 boxes. (anger)",Statement Non Opinion,Statement Non Opinion
Hey! How'd the interview go? (joy),Question,Question
"Oh, I blew it. I wouldn't of even hired me. (sadness)",Answer,Statement Non Opinion
"Oh, come here sweetie, listen, you're gonna go on like a thousand interviews before you get a job. (sadness)",Statement Opinion,Statement Opinion
That's not how that was supposed to come out. (sadness),Disagreement,Apology
This is the worst Christmas ever. (sadness),Statement Opinion,Statement Opinion
"Y'know what Rach, maybe you should just, y'know stay here at the coffee house. (neutral)",Statement Opinion,Others
I can't! (anger),Disagreement,Statement Non Opinion
It's too late! (anger),Disagreement,Statement Non Opinion
Terry already hired that girl over there. (sadness),Statement Non Opinion,Statement Non Opinion
"Look at her, she's even got waitress experience. (sadness)",Others,Statement Non Opinion
Last night she was teaching everybody how to make napkin.... swans. (sadness),Statement Non Opinion,Statement Non Opinion
That word was swans. (neutral),Statement Non Opinion,Acknowledge
What do we got there? (surprise),Question,Question
"A piece of something: boxer shorts, greeting cards, and what looks like a half-charred picture--Wow, that guy's hairier than the Chief! (surprise)",Answer,Statement Non Opinion
"You know, it's a really funny story how this happened. (joy)",Statement Non Opinion,Statement Opinion
