Utterance,Emotion,"No,DS_r1_emotion"
Alright . I think it's a big mistake but it's your decision. (neutral),neutral,neutral
I'm gonna do it. (joy),joy,joy
And I can't stop you. (neutral),neutral,neutral
No. (neutral),neutral,neutral
"Hey Rach, have you seen Charlie anywhere? (neutral)",neutral,neutral
I'm smarter than (neutral),neutral,neutral
"Oh, hey, Gunther, check this out. (joy)",joy,neutral
"Yeah, that-that Chandler cracks me up. (joy)",joy,joy
"Hey Ross, listen, you want anything to drink, 'cause I'm heading up there. (neutral)",neutral,neutral
"Uh, yeah, I'll take a coffee. Thanks, man. (neutral)",neutral,neutral
Sure. Coffee? 'Cause I'm going up there. (joy),joy,neutral
No. (neutral),neutral,neutral
"No, thank you. (neutral)",neutral,neutral
"You guys need anything, 'cause I'm heading up there. (neutral)",neutral,neutral
I'd love an ice water. (neutral),neutral,neutral
You got it. (neutral),neutral,neutral
"Joey, what are you doing? (surprise)",surprise,surprised
Just being friendly. (anger),anger,neutral
"Joey, honey, I don't think you're supposed to go back there. (anger)",anger,fear
"Nah, it's okay. Right, Gunther? (neutral)",neutral,neutral
Don't wink at me. And put on your apron. (anger),anger,anger
"Okay, but I don't see you asking any other paying customers to put on aprons. (sadness)",sadness,anger
"Joey, do you work here? (surprise)",surprise,surprised
No. (neutral),neutral,neutral
"Hey, waiter. (neutral)",neutral,neutral
Yeah? (neutral),neutral,neutral
"You've reached Monica and Chandler's, if you're listening to this message, we're probably screening. Yeah we are. (neutral)",neutral,neutral
"Hi, this is Heldi from the Morgan Chase museum. (neutral)",neutral,neutral
I'm calling for Monica Geller. (neutral),neutral,neutral
"I want to let her know that there was a cancellation and if she's still interested in having the Bing-Geller wedding at our facility, it is available (neutral)",neutral,neutral
"This is Chandler Bing! This is Chandler Bing! Yes, the groom--No! Not the groom!! (surprise)",surprise,surprised
Thank you. (neutral),neutral,neutral
Thanks. (neutral),neutral,neutral
I can't believe this! This is like the worst night ever! (anger),anger,sadness
Y'know Monica you had a minor setback in your relationship with Chandler. Big deal! It's only Chandler. I am (neutral),neutral,neutral
"This is crazy! I mean, it's such a stupid argument. I don't even wanna see Richard again. (sadness)",sadness,anger
So go fix it! (neutral),neutral,neutral
Go find Chandler! (neutral),neutral,neutral
He's probably up in your room! (sadness),sadness,neutral
Tell him that you're sorry and that you love him. (anger),anger,neutral
Y'know what? You're right Phoebe. You're right. Thank you! (joy),joy,joy
"Sure! Yeah! Las Vegas, number one! (joy)",joy,joy
Anybody lose this? (neutral),neutral,neutral
Comin' out. Place your bet. Dice are out. Double or nothin'! Pay the front line! (joy),joy,neutral
Hmm. (neutral),neutral,neutral
Do you remember where the duck food is? (neutral),neutral,neutral
"Yeah, it's in the guys' apartment under the sink. Why? (surprise)",surprise,neutral
Because I'm going to London. (neutral),neutral,neutral
What?! What do you mean you're going to London? (surprise),surprise,surprised
"Yeah, I have to tell Ross that I love him. (neutral)",neutral,neutral
"Now honey, you take care, you don't have those babies until I get back. (neutral)",neutral,joy
"I--Rachel, you can't go! Ross loves Emily! (fear)",fear,fear
"Yeah, I know, I know, I know he does. (fear)",fear,sadness
But I have to tell him how I feel! (sadness),sadness,neutral
He deserves to have all the information and then he can make an informed decision. (neutral),neutral,neutral
That's not why you're going! (sadness),sadness,anger
"You're going because you hope he's gonna say, ""Yeah, I love you too, Rach. (sadness)",sadness,disgust
"Forget that British chippy."" (sadness)",sadness,disgust
Ohh--Do you think he will?! (surprise),surprise,surprised
No! (sadness),sadness,anger
Because he's in love with the British chippy! (sadness),sadness,anger
"Look, Rachel, if you go, you're just gonna mess with his head and ruin his wedding! (anger)",anger,anger
"Y'know, it's too late! (anger)",anger,anger
You missed you're chance! (sadness),sadness,anger
"I'm sorry, I know this must be really hard, it's over. (sadness)",sadness,sadness
"Y'know what? No. It's not over until someone says, ""I do."" (anger)",anger,anger
"I do! I do! I do! I do! Ugh, like I can really chase you. I'm carrying a litter. (joy)",joy,anger
So is everybody here? (neutral),neutral,neutral
I got here a little early myself. (neutral),neutral,neutral
Let us begin. (neutral),neutral,neutral
"Now, the hydrosaurids have been unearthed in two main locations. (neutral)",neutral,neutral
Here. (neutral),neutral,neutral
Here. (neutral),neutral,neutral
Now as for the hydrosaurs (neutral),neutral,neutral
"Well, so anyway Beth, what I'm saying is I should've considered your feelings before I went home with you that night. (neutral)",neutral,sadness
"I've ah, I've recently learned what's it like to be on your side of it, and I'm sorry. (sadness)",sadness,sadness
"So, do you think you can forgive me? (sadness)",sadness,sadness
Great. (joy),joy,joy
Thanks. (joy),joy,joy
"Okay, bye. (neutral)",neutral,neutral
"Hello, Jennifer? (neutral)",neutral,neutral
"Oh hi, Mrs. Loreo, is Jennifer there? (surprise)",surprise,neutral
"Oh, she's not home huh? (surprise)",surprise,sadness
"Well ah, actually I kinda need to talk to you too. (neutral)",neutral,neutral
Hey! (anger),anger,neutral
Hi. (neutral),neutral,neutral
Are you all right? (neutral),neutral,neutral
Uhh... I think I just got engaged. (fear),fear,surprised
Oh my God! He did it? (surprise),surprise,surprised
Well...did you know he was gonna ask me? (joy),joy,neutral
Are you kidding? (surprise),surprise,surprised
I'm like the one who talked him into it. (joy),joy,joy
I like to think of myself as the puppet master of the group. (sadness),sadness,joy
And you really think this is a good idea? (sadness),sadness,fear
"I just talked him into it, don't tell me I have to do you too. The puppet master gets tired people. (neutral)",neutral,joy
I just don't know! It just doesn't feel right. (sadness),sadness,fear
"Why?! You two are so meant to be together, everybody thinks so. (surprise)",surprise,joy
Really?! Even Ross? (surprise),surprise,surprised
Especially Ross! (joy),joy,joy
"Oh uh, hey Pheebs. Uh y'know what? I'll-I'll come back later. (neutral)",neutral,neutral
"Wow! Kind of uh, kind of a full house here. I'll guess just...I'll come back. (surprise)",surprise,surprised
"There he goes, your fiancée. (joy)",joy,neutral
I guess so. (neutral),neutral,sadness
Although he does play with himself in his sleep. (neutral),neutral,joy
I can't say that I'm surprised. (neutral),neutral,neutral
"Oh, that is so unfortunate. (sadness)",sadness,sadness
What? (neutral),neutral,neutral
Cute naked guy is really starting to put on weight. (joy),joy,disgust
"Okay, I'll be back in just a minute. Oh, Phoebe I'm sorry that I left lipstick marks on the phone. (neutral)",neutral,neutral
You didn't leave lipstick marks on the phone. (neutral),neutral,neutral
"Oh, then it must've been you. Bye. (neutral)",neutral,neutral
Bye-bye! That's why I moved out. (joy),joy,joy
"Hey, y'know while we're on that, when are you gonna tell my sister that you don't live here anymore. (neutral)",neutral,neutral
I think on some levels she already knows. (neutral),neutral,neutral
Night Mon. Night Julio. (neutral),neutral,neutral
Adios. (neutral),neutral,neutral
"Look Julio, someone left their book here. (surprise)",surprise,neutral
"Ah actually, that is mine. (neutral)",neutral,neutral
"Oh yeah, what are you reading? (neutral)",neutral,neutral
"Flowers of Evil, by Beaudalire. Have you read it? (neutral)",neutral,neutral
"Have I read it? No, are you enjoying it? (neutral)",neutral,surprised
"I thought I would, but the translation's no good. (neutral)",neutral,sadness
Your a poet and don't know it. (neutral),neutral,joy
"Actually I ah, I am a poet. (neutral)",neutral,neutral
"Oh, then you do know it. So um what kind of things do you write about? (neutral)",neutral,surprised
"Things that move me. The, the shadow of a tree, a child laughing, or this lip. (neutral)",neutral,joy
Mine? Right here? (neutral),neutral,surprised
I can write an epic poem about this lip. (joy),joy,joy
"How would that go? Well, it didn't rhyme, but I liked it. (joy)",joy,joy
"Last stop, Montreal. This stop is Montreal. (neutral)",neutral,neutral
What? (surprise),surprise,surprised
"I made a bet with myself that you have beautiful eyes. Now that I see them, I win. (neutral)",neutral,joy
What? (surprise),surprise,surprised
We're at my stop. But would you like to have coffee? (neutral),neutral,joy
Are we really in Montreal?! (surprise),surprise,surprised
"Yes we are. So, coffee? (neutral)",neutral,joy
"Coffee sounds great. Wait, so, so you live in Montreal? (neutral)",neutral,surprised
"Oh, no. But it's just a two hour ferry ride to Nova Scotia. (neutral)",neutral,neutral
"Okay, here's batch 22. (neutral)",neutral,neutral
"Oh, maybe these'll taste a little like your grandmother's. (anger)",anger,joy
"This has a little bit of orange peel, but no nutmeg. (neutral)",neutral,neutral
Let's give it a shot. (neutral),neutral,joy
"Oh, what was that for? Like a bake sale? (surprise)",surprise,surprised
"No, just a Friday night. (neutral)",neutral,neutral
Would she? (neutral),neutral,neutral
Would she? You ate my candy bar! (anger),anger,anger
"Oh God, I hate my job, I hate it, I hate my job, I hate it. (disgust)",disgust,anger
"I know honey, I'm sorry. (sadness)",sadness,neutral
"Oh, I wanna quit, but then I think I should stick it out, then I think why would such a person stay in such a demeaning job, just because it's remotely related to the field they're interested in. (sadness)",sadness,sadness
"Gee, I don't know Rach. Order up!! I got a Yentel soup, a James Beans, and a Howdy hold the Dowdy! (joy)",joy,neutral
"Oh honey, come on, I'm sorry, I didn't.... (sadness)",sadness,neutral
"I don't mind paying my dues, y'know, its just how much am I gonna learn about fashion by walking Mira, the arthritic seamstress, to the bathroom. (disgust)",disgust,sadness
Hi! Is my misery amusing to you? (anger),anger,anger
"I'm sorry, I wa, I wa, I was just ah.... (fear)",fear,fear
"It's not funny, this is actually my job. (anger)",anger,anger
"Oh believe me, I-I-I've been there. I had to sort mannequin heads at that Mannequins Plus. (neutral)",neutral,neutral
"Oh well then, so I'm just going to go back to talking to my friend here. (joy)",joy,neutral
And you can go back to enjoying your little hamburger. (joy),joy,anger
"Ah, just one other thing. (neutral)",neutral,neutral
Yes?! (joy),joy,anger
"I ah, I work at (neutral)",neutral,fear
Do you want my pickle? (neutral),neutral,neutral
Do you think they have yesterday's daily news? (neutral),neutral,neutral
Why? (surprise),surprise,neutral
"Just wanna check my horoscope, see if it was right. (neutral)",neutral,neutral
Oh my God. (surprise),surprise,surprised
Phoebe. (neutral),neutral,neutral
"Don't look now, but behind us is a guy who has the potential to break our hearts and plunge us into a pit of depression. (neutral)",neutral,fear
"Where? Ooh, come to Momma. (joy)",joy,joy
"He's coming. Be cool, be cool, be cool. (anger)",anger,fear
We should do something. Whistle. (joy),joy,joy
We are not going to whistle. (anger),anger,disgust
"Come on, do it. (neutral)",neutral,joy
No! (anger),anger,anger
Do it! (joy),joy,joy
No! (anger),anger,anger
Do it do it do it! (joy),joy,joy
Woo-woo! (joy),joy,fear
I can't believe you did that! (surprise),surprise,surprised
"Hi! Umm, I'm Monica Geller, I'm the chef at Alessandro's. (neutral)",neutral,neutral
Still? (surprise),surprise,surprised
"I think the things that you said about me are really unfair, and I would like for you to give my bouillabaisse another chance. (neutral)",neutral,sadness
I don't see any reason why I would do that to myself again. (joy),joy,disgust
"Either eat it, or be in it. (anger)",anger,anger
"Spoon? So, what do you think? (joy)",joy,neutral
"I'm torn, between my integrity and my desire to avoid a beating. But I must be honest, your soap is abysmal. (disgust)",disgust,disgust
Thata girl! Huh? We should get out of here.. there's a new class comin' in. (joy),joy,joy
"Welcome to introduction to cooking. Now, before we start, can anyone tell me the difference between a hollandaise sauce and a bearnaise sauce? (neutral)",neutral,neutral
I can. (neutral),neutral,neutral
"Okay, go ahead. (neutral)",neutral,neutral
"Well umm, they both have a egg yolk and butter base, but a bearnaise has shallots, shirvel, and most importantly tarragon. (neutral)",neutral,neutral
"That's very good, what's your name? (neutral)",neutral,joy
Monica. (neutral),neutral,neutral
"Monica, you go to the head of the class. (neutral)",neutral,joy
Okay. (joy),joy,neutral
"And there's a country called Argentinaaaa, it's a place I've never seeeeen. (neutral)",neutral,joy
But I'm told for fifty pesos you can buy a human spleen. (neutral),neutral,disgust
Human spleeeen. (neutral),neutral,disgust
Olé! (joy),joy,joy
What are you doing here! (surprise),surprise,surprised
"Well, you said that you had customers lined up in the street, so I am here to entertain! (joy)",joy,joy
Great! (joy),joy,joy
Yeah! (joy),joy,joy
"It really has been great too, you know, some of this people must have seen me play before because they were requesting a bunch of my songs! (joy)",joy,joy
"Yeah, ""You suck"" and ""shut up and go home"". (joy)",joy,neutral
Listen Phoebe... (joy),joy,neutral
Yeah. (neutral),neutral,neutral
"You know how much I love listening to your music, you know, but... (neutral)",neutral,neutral
But what? (neutral),neutral,neutral
This is kind of a classy place. (neutral),neutral,neutral
"Ok, say no more. (neutral)",neutral,sadness
"I'm so bored! Stupid rain, we... we can't do anything. (sadness)",sadness,sadness
"Well, I've brought some books. We could read. (neutral)",neutral,neutral
"Hey, it hasn't come to that yet. (joy)",joy,neutral
Hey hey hey! Don't mind if I do! (joy),joy,joy
"I'm sorry sir, these are for the pharmaceutical convention (neutral)",neutral,neutral
"Hey Rach, do you feel like going to a convention? (neutral)",neutral,joy
We can't. We're not pharmacists! (sadness),sadness,neutral
"I know we're not, but Frank Medeio and... Eva Trorro... womba... (neutral)",neutral,joy
Kate Miller? (neutral),neutral,neutral
Kate Miller it is. (neutral),neutral,neutral
And... that's the most sex I'm gonna have this weekend. (joy),joy,sadness
In that case should I make sure it's on real good? (neutral),neutral,joy
Thank you. (neutral),neutral,neutral
Oh my God! (surprise),surprise,surprised
"We heard about your pants, I'm so sorry. (sadness)",sadness,sadness
This year was supposed to be great! (anger),anger,sadness
"But, it's only the second day and I'm a loser with stupid leather pants that don't even fit! (disgust)",disgust,sadness
"No. No, you're not a loser. (sadness)",sadness,neutral
Look at me! (anger),anger,sadness
"Hey, hey, look. Look Ross, Ben drew a picture of you! Huh? You're-you're a cowboy! (joy)",joy,joy
"Oh, be-because of the leather pants. (sadness)",sadness,neutral
"See? Ben doesn't think you're a loser, he thinks you're a cowboy! Now that's something. (joy)",joy,joy
That really is something.. that's really cool. (joy),joy,joy
Howdy partner! (joy),joy,joy
Maybe I should get another pair! (joy),joy,joy
"Ooh, y'know, they-they had some with fringe all down the sides. (joy)",joy,joy
I'm gonna go kiss Ben goodnight. (joy),joy,neutral
I can't believe he thinks I'm a cowboy. (joy),joy,joy
I would make a good cowboy. (joy),joy,joy
"Okay, now that everything's wrapped up here, I think I'm, I'm gonna go do my laundry. (neutral)",neutral,neutral
"Oh yeah, me too. Y'know if this shirt is dirty. Yep. (neutral)",neutral,neutral
"No you didn't. You said you would, but you never did! (anger)",anger,anger
Oh yeah! (surprise),surprise,surprised
Great nap. (neutral),neutral,joy
It really was. (neutral),neutral,joy
"Uh me? Gay? No! No. No, but I have a number of close friends who are. (joy)",joy,surprised
"So, let's talk about women. I'm sure our female readers will be interested to know about your romantic life. (neutral)",neutral,neutral
"Oh-oh-oh-oh, how I do it is, I look a woman up and down and say, ""Hey, how you doin'?"" (neutral)",neutral,joy
"Oh, please! (disgust)",disgust,disgust
"Hey, how you doin'? (neutral)",neutral,joy
Hey Mikey (neutral),neutral,neutral
Hey P (neutral),neutral,neutral
What are you doing? (neutral),neutral,neutral
Setting rattraps (neutral),neutral,neutral
To kill Bob?? (surprise),surprise,surprised
"No, no, to test his neck strength. (neutral)",neutral,joy
"No, Mike, I don't want to kill him! (anger)",anger,anger
"I thought we were just gonna capture him and, and you know, set him free in the country side where he can maybe meet a friendly possom and a wisecracking owl. (sadness)",sadness,joy
"Ok, ok, I'll throw away the traps. (neutral)",neutral,neutral
"I'll find Bob, I'll get him. (neutral)",neutral,neutral
Bob? (fear),fear,neutral
Bob! (sadness),sadness,neutral
Robert! (anger),anger,neutral
"Oh wait, I think I hear him. (neutral)",neutral,joy
Oh - Oh my god! (surprise),surprise,surprised
Bob had babies! (surprise),surprise,joy
Bob's a mom! (surprise),surprise,joy
Better think of a new name for him. (neutral),neutral,neutral
"I don't know, I kinda like Bob for a girl. (neutral)",neutral,joy
"I don't know, I mean I'm not sure ... (neutral)",neutral,neutral
"Oh my god, we killed Bob! (sadness)",sadness,surprised
"Maybe it wasn't Bob, maybe it was a mouse. (neutral)",neutral,neutral
Suzie (neutral),neutral,sadness
"Hmmm, soup! (joy)",joy,joy
"Joey, Ross is gonna be here any second, would you mind watching Ben for me while I use the ladies' room? (neutral)",neutral,neutral
"Oh yeah, no problem. (neutral)",neutral,neutral
Thanks. (neutral),neutral,neutral
"Hi Ben! So you wanna be an actor huh? I gotta tell ya, it's no picnic. There's tons of rejection. (sadness)",sadness,neutral
Joey! (surprise),surprise,joy
What one? You wanted him to invite you to the party and he did it! (surprise),surprise,surprised
"Yeah, but he waited until the last minute! (anger)",anger,disgust
"So if I said yes, he would know I had nothing better to do than wait around for an invitation to his stupid party. (anger)",anger,disgust
"I said, ""No!"" (anger)",anger,disgust
Which puts (neutral),neutral,disgust
Great. So the ball is in his court? (anger),anger,neutral
Ball? There is no ball. (anger),anger,disgust
"Oh, hey Rach! I thought we said seven? (surprise)",surprise,surprised
"Yeah uh, y'know what uh, let's skip it. (neutral)",neutral,disgust
What?! Why?! (surprise),surprise,surprised
"Umm, you-you and your sister seem to have umm, a very special bond, and (neutral)",neutral,disgust
Oh great! That (anger),anger,anger
"Do-do you, do you have brothers? (neutral)",neutral,fear
"No, I have two sisters. But one of them has a very masculine energy. (neutral)",neutral,neutral
Are you close with them? (neutral),neutral,neutral
"No-no, they're not very nice people. (neutral)",neutral,disgust
"Okay, listen, I really like you. (neutral)",neutral,joy
Okay? (neutral),neutral,neutral
I think this can go somewhere. (neutral),neutral,joy
"So what if I'm close to my family, are you gonna let that stand in the way of us? (neutral)",neutral,anger
"Well, uh, I-I don't know. See when-when you put it that way y'know it does sort of (neutral)",neutral,fear
Danny! Hurry up! The bath is getting cold! (neutral),neutral,neutral
What? (surprise),surprise,surprised
"Yeah, okay, I'll see you later. (neutral)",neutral,sadness
It's over. (sadness),sadness,sadness
"Oh, was it awful? (sadness)",sadness,neutral
"Well, it was loong. (sadness)",sadness,sadness
"I didn't even realise how late it was, until I noticed the 5 o'clock shadow on her head. (neutral)",neutral,disgust
"Anyway, she didn't want to stay. (sadness)",sadness,neutral
I called a cab. she just left. (neutral),neutral,neutral
I wrote you a letter. (neutral),neutral,neutral
Ohh! Thank you! I like mail. (joy),joy,joy
It's just some things I've been thinking about. (neutral),neutral,neutral
"Some things about us, and before we can even think about the two of us getting back together, I just need to know how you feel about this stuff. (neutral)",neutral,neutral
"Okay. Wow, it's-it's 5:30 in the morning. So, I'd better get cracking on this baby. (neutral)",neutral,surprised
"Well, I'll be waiting for you, just come up when you're done. (neutral)",neutral,neutral
"Okay, I'll be up in, 18 pages. Front and back. Very exciting. (joy)",joy,disgust
The waiter carried the breadsticks in his pants! (anger),anger,disgust
"Well, you said that we except the (neutral)",neutral,neutral
"All right, that I'll retract. (neutral)",neutral,neutral
"But I stand by my review, I know food and that wasn't it. (disgust)",disgust,neutral
You're marinara sauce tasted like tomato juice! (disgust),disgust,disgust
You should serve it with vodka and a piece of celery. (disgust),disgust,disgust
"Hey! I'm proud of that sauce, it's delicious. (anger)",anger,anger
Oh my God! You own an Italian restaurant and you think that tastes good?! Where are you even from? (surprise),surprise,surprised
Lebanon. (neutral),neutral,neutral
"Hand me those tomatoes, I'm gonna show you what it should taste like! Come on, hand me them. (anger)",anger,anger
How long is this gonna take? 'Cause I got another critic to go yell at. (neutral),neutral,anger
"Okay, then what happened? (neutral)",neutral,neutral
Ohh. Uh-huh. Uh-huh. You'll get your turn! (anger),anger,neutral
"Hey Pheebs, what's going on? (neutral)",neutral,neutral
Nothing! This is not over! (anger),anger,anger
No! No! No! (anger),anger,anger
What?! (surprise),surprise,surprised
"I was up all night writing this really nasty letter to Emily! It was perfect and now it's all covered in-in... Actually, thanks! (sadness)",sadness,joy
All right! Everybody ready to go to the movies? (neutral),neutral,joy
"Uh actually, I think I'm gonna skip it. (sadness)",sadness,sadness
Really? (surprise),surprise,surprised
"Yeah, I'm gonna stay and read my book. I just wanna be alone right now. (sadness)",sadness,sadness
"Oh. Are you sure you don't want to come? Tom Hanks, Meg Ryan, they get mail and stuff. (neutral)",neutral,neutral
"That's okay, Joe. (neutral)",neutral,neutral
"All right, let's go Pheebs. (neutral)",neutral,neutral
Oh God! (surprise),surprise,sadness
That was amazing. (joy),joy,joy
I know. (neutral),neutral,joy
"Hey, do you realize we may have just changed our lives forever? (joy)",joy,joy
We may have just started a family. (joy),joy,joy
"Nine months from now we can be here, having our own baby. (joy)",joy,joy
"And if not, we got to do it on a bucket. (neutral)",neutral,joy
Ross! You gotta stop! Okay?! You can't just stare through the peep hole for three hours! You're gonna get peep eye! (anger),anger,anger
I knew it! (surprise),surprise,anger
I knew it! (anger),anger,anger
I always knew she liked him! (anger),anger,anger
"Y'know, she'd say no, but here we are! (anger)",anger,anger
Right? (neutral),neutral,anger
"We just broke up, first thing she does! (anger)",anger,anger
You didn't just break up. (neutral),neutral,neutral
"Hey, it's been like three weeks! (anger)",anger,anger
You slept with somebody three hours after you thought you broke up. I mean bullets have left guns slower! (disgust),disgust,disgust
"Hey, so uh, y'know how there's something I wanted to talk to you about? (neutral)",neutral,neutral
Oh yeah! (joy),joy,joy
"Well, y'know how I'm trying to work things out with Emily. (joy)",joy,neutral
"Well, there's this one thing... Okay, here goes. (neutral)",neutral,fear
I made a promise that--Oh hey! (surprise),surprise,surprised
What? (neutral),neutral,surprised
You're nose is bleeding! (surprise),surprise,surprised
Oh God. (sadness),sadness,fear
No! (sadness),sadness,fear
Oh not again! (anger),anger,fear
This-this happened when my grandfather died. (sadness),sadness,sadness
It's ugh! (disgust),disgust,disgust
Sorry. (sadness),sadness,neutral
"Oh, okay, so I'm sorry, what-what were you-what did you want to tell me? (neutral)",neutral,neutral
Umm (neutral),neutral,neutral
Sorry. Sorry. (sadness),sadness,neutral
"Okay, I uh, I can't see you anymore. (sadness)",sadness,sadness
"Yeah, I know. It's ridiculous! I can't see you either. (neutral)",neutral,anger
Not yet! Not yet! Not yet! Not yet! Not yet! Not yet! Not yet! Not yet! (fear),fear,joy
"Hello, Chip. (neutral)",neutral,neutral
"Hey, Rach! How ya doin'? (joy)",joy,joy
I'm great! I'm great. I've got a great job at (joy),joy,joy
"So ah, Monica ready yet? (neutral)",neutral,neutral
"She'll be out in a second. So, Chip, how's umm, Amy Welch? (neutral)",neutral,neutral
"Amy Welch? Wow! I haven't seen her since... So, Monica about ready? (surprise)",surprise,surprised
"That's right, I love you! And-and I'm gonna play with you all the time. (joy)",joy,joy
How can you let him talk to your crotch like that? (surprise),surprise,disgust
He's talking to the baby. (neutral),neutral,neutral
Ohh! (surprise),surprise,surprised
Okay! (surprise),surprise,neutral
"Okay, cause when-when he said, ""I can't wait to hear your first words,"" I thought, ""There's a trick."" (surprise)",surprise,neutral
"Okay. Well, I gotta go you guys. I'll see you later. (neutral)",neutral,neutral
Okay. (neutral),neutral,neutral
"Oh my, oh my God! (surprise)",surprise,surprised
"Aw, it's unbelievable! (surprise)",surprise,joy
Wow! (surprise),surprise,surprised
She is kicking so much! (surprise),surprise,joy
"Oh, she's like umm...oh...who's that kind of annoying girl soccer player? (joy)",joy,neutral
Mia Hamm? (neutral),neutral,neutral
Mia Hamm! (joy),joy,joy
Oh that's amazing. (joy),joy,joy
Oh-oh!! One hand on the sheet Joe! (surprise),surprise,surprised
Whoa-hey-oh! Sorry! (surprise),surprise,surprised
"Okay, what do you guys think? (neutral)",neutral,neutral
Dude! (surprise),surprise,surprised
I have never known love like this. (sadness),sadness,joy
You really like it? (surprise),surprise,neutral
Dude! How-how did you write this? (surprise),surprise,surprised
I stole Monica's and changed the name. (neutral),neutral,neutral
You can't (neutral),neutral,disgust
If he goes first he can! (joy),joy,joy
Yeah! (anger),anger,joy
"Anyway, I-I still think we should try to patch things up, y'know? (neutral)",neutral,neutral
"Like uh, maybe we could get him to get tickets to another Knicks game and invite him. (neutral)",neutral,neutral
Oh wow that's a great idea! And (joy),joy,joy
Here you go. (neutral),neutral,neutral
"Hey-hey-hey-ho-ho, I got this one. (joy)",joy,joy
Here you go. (neutral),neutral,neutral
"Y'know I gotta tell ya, sometimes I just--I don't get Chandler. (neutral)",neutral,neutral
"Y'know, me and him do stuff all the time without you and you don't get all upset. (neutral)",neutral,anger
All the time? (sadness),sadness,surprised
All the time! (anger),anger,anger
"Cassie, how you-how you doin' on that...hot dog. (neutral)",neutral,neutral
I'm all done. (neutral),neutral,neutral
Thank God. (joy),joy,joy
I guess the last time we really hung out was when our parents rented that beach house together. (neutral),neutral,neutral
Oh right. (neutral),neutral,neutral
Right. (neutral),neutral,neutral
"Ooh, remember the time I uh, I pinned you down and tickled you 'til you cried? (joy)",joy,joy
We're probably too old to do that now. (sadness),sadness,neutral
"I'll always remember that summer, because it's when I got all of these freckles. (joy)",joy,joy
Uh-huh! Uh-huh! And-and-and I'll always remember that summer because that's when I realized that we are related. (joy),joy,joy
"It took you that long to figure it out, huh? (surprise)",surprise,joy
"Well I'm, I'm a little slow. Just as our children would be. (neutral)",neutral,joy
Relax every muscle in your body. (neutral),neutral,neutral
Listen to the plinky-plunky music. (neutral),neutral,neutral
"Okay, now close you eyes, and think of a happy place. (neutral)",neutral,neutral
"Okay, tell me your happy place. (neutral)",neutral,neutral
"Richard's living room, drinking wine. (joy)",joy,joy
"All right. No, no, no, not a Richard thing, just put down the glass. And get out! (anger)",anger,disgust
"I'm sorry, but that's my happy place. (sadness)",sadness,neutral
"Well, okay, fine, use my happy place. (neutral)",neutral,neutral
"Okay, I'm just gonna, I have to ask that you don't move anything. (neutral)",neutral,neutral
"All right, I'll try not to. (neutral)",neutral,neutral
"Okay, all right, so, your in a meadow, millions of stars in the sky.... (neutral)",neutral,neutral
Do you think breaking up with him was a huge mistake? (sadness),sadness,sadness
"All right, there are no questions in the happy place. Okay, just, the warm breeze, and the moonlight flowing through the trees.... (joy)",joy,neutral
"I'll bet he's totally over me, I'll bet he's fine. (sadness)",sadness,sadness
"All right, betting and wagering of any kind, are, I'm sure, not permitted in the happy place. (neutral)",neutral,disgust
Okay. (neutral),neutral,neutral
"Just-just, you know, the-the lovely waterfalls, and the, the trickling fountains. (joy)",joy,neutral
And the-the calming sounds of the babbling brook.... (neutral),neutral,neutral
"Okay, this isn't working. I'm still awake and now I have to pee. (disgust)",disgust,anger
"OK sweetie, I'll see you later. (neutral)",neutral,joy
See you later Rach. (neutral),neutral,neutral
Bye-bye Julie. (neutral),neutral,neutral
Hey. (neutral),neutral,neutral
Hey. (neutral),neutral,neutral
"Hey, c'mon, cut it out. (joy)",joy,anger
Hey? (neutral),neutral,surprised
What? (neutral),neutral,neutral
Can I ask you somethin'? (neutral),neutral,neutral
"Hey Rach, wanna hear the new song I'm thinkin' of singing this afternoon? I wrote it this morning in the shower. (joy)",joy,joy
Ok. (neutral),neutral,neutral
"Uh, Rachel, sweetheart, could I see ya for a minute? (neutral)",neutral,fear
What's up? (neutral),neutral,neutral
F.Y.I.. (neutral),neutral,disgust
I've decided to pay a professional musician to play in here on Sunday afternoons. (neutral),neutral,neutral
Her name is Stephanie... something. (neutral),neutral,neutral
She's supposed to be very good. (neutral),neutral,neutral
But what about Phoebe? (surprise),surprise,sadness
"Rachel, it's not that your friend is bad, it's that she's so bad, she makes me want to put my finger through my eye into my brain and swirl it around. (disgust)",disgust,disgust
"Ok, ok, so you're not a fan, but I mean, come on, you cannot do this to her. (sadness)",sadness,sadness
Uh... (neutral),neutral,fear
"Oh, no no no no. Oh no no no no. I have to do this to her? (fear)",fear,surprised
"Ahh, no. (sadness)",sadness,anger
Oh. (neutral),neutral,sadness
Are you jealous? (surprise),surprise,joy
"Noo, I y'know I don't see why she has to play with you, that's all. (anger)",anger,fear
I mean doesn't she have any y'know other stripper moms friends of her own? (anger),anger,disgust
You are totally jealous. (joy),joy,joy
I'm not jealous. (anger),anger,anger
"All right this is about, umm, people feeling certain things y'know about strippers. (neutral)",neutral,neutral
"And y'know, and um, I... (neutral)",neutral,fear
"Honey, I love you too. (neutral)",neutral,joy
"Ugh. Wait, wait, wait. (sadness)",sadness,disgust
What? (surprise),surprise,surprised
Huh. (surprise),surprise,neutral
"Well, there's a kiss that he won't forget for a couple of hours, y'know. (joy)",joy,disgust
