"_texto_CONCATENAR(#¡REF!,"" ("",G1,"") "")",Original_Label,DeepSeek_r1
"[LAUGHTER] All right.  I'm sorry, sir that you've been having a hard time. (Apology) ",neutral,neutral
"This is ridiculous.  I- I seriously, I don't understand why you think these automated systems are supposed to like work for anybody.  They have never, ever work for me. (Statement Opinion) ",anger,anger
"I kwon, it is ridiculous (Agreement) ",neutral,neutral
"yeah, I understand. (Agreement) ",neutral,neutral
"Can you like talk to somebody about this, can you like can you tell them that this is ridiculous and can they change it from now on, is there a phone number you have that I can call that will like automatically be talking to somebody a human being. (Question) ",anger,frustrated
Uh- when's when's- (Backchannel) ,neutral,neutral
Sir- (Backchannel) ,frustrated,neutral
"If yeah, well if you just slow down we'll um, we'll definitely have your problem solved and after we have your problem solved, then I can transfer you to a manager, someone who can you know, you can voice your complaint to, who will be able to something about it. (Answer) ",neutral,neutral
"Well, okay ,well First off, fine, fine, fine.  Let's see, first off, um- yeah my bill's wrong. (Statement Non Opinion ) ",frustrated,frustrated
"Like I know I paid last month, but it hasn't been paid and you charged me a late fee. (Statement Non Opinion ) ",anger,frustrated
"Okay, so where?, okay, all right, so where did you uh- locate your your bill? (Question) ",neutral,neutral
I got it in the mail. (Answer) ,frustrated,neutral
In the mail? (Question) ,neutral,neutral
yeah (Answer) ,frustrated,neutral
"So is it, is- is it at all possible that maybe this statement is just old and that the transaction hadn't been processed yet? (Question) ",neutral,neutral
"Well, when I look online, it says, it says that I was charged a late fee so I'm assuming that I paid on your web site- (Answer) ",frustrated,neutral
Okay. (Backchannel) ,neutral,neutral
"like I paid right through your own company before my due date but it's still and it even shows my payment there, and then it charged me the late fee afterwards. (Statement Non Opinion ) ",frustrated,frustrated
Okay. (Backchannel) ,neutral,neutral
All right. I- (Backchannel) ,xxx,neutral
"Okay so, I'll just look it up and you know see what's going on, maybe we can... (Statement Non Opinion ) ",neutral,neutral
Okay. (Agreement) ,frustrated,neutral
if I call it up on the screen. (Statement Non Opinion ) ,neutral,neutral
"Okay, great, go ahead. (Agreement) ",neutral,neutral
"So in the database, it looks as though um, there is a there is like a glitch in the transaction where it hadn't gone through before, but I do see that you paid the, what can you tell me the amount, what was the amount? (Question) ",neutral,neutral
It was one ninety eight sixty three. I paid the minimum. (Answer) ,frustrated,neutral
"Okay, I do see that on here, and it says that um, it had some trouble clearing for some reason.  And I think that was the problem on our end.  So um- (Statement Non Opinion ) ",neutral,neutral
Wow.  I can't believe you're actually admitting to having a problem on your end.  That's a first. (Statement Opinion) ,xxx,surprised
"Well you know sometimes-- just with online transactions, things happens. so um- (Statement Opinion) ",neutral,neutral
"No, No, No, I am grateful. (Statement Opinion) ",neutral,happy
Absolutely. (Agreement) ,xxx,neutral
"Yeah, we- Somebody went in and- and cleared the problem and it looks like you're all paid. (Statement Non Opinion ) ",neutral,neutral
Did they take- (Question) ,neutral,neutral
"You do the direct the direct it um- it's taking right out of your bank account, correct? (Question) ",neutral,neutral
"Yes, yes, exactly. (Answer) ",neutral,neutral
Yeah so- That --that did go through. (Statement Non Opinion ) ,neutral,neutral
Are you taking the late fee off of my account then? (Question) ,neutral,neutral
"Um- I can try to do that for you, certainly. (Answer) ",neutral,neutral
Because I paid it on time. (Statement Non Opinion ) ,frustrated,neutral
"Right, right, and since--yeah, since it was just a computer glitch, then that's that should be cleared up as well.  So I'm going to go ahead and try and put that into the computer.  And if for some reason you notice on your statement in a few days that you've been charged and an overdue fee, then you should just call back and we'll have that. (Statement Non Opinion ) ",neutral,neutral
Right. (Backchannel) ,neutral,neutral
"Yeah, but if I call back, I'll have to go through this whole rigmarole again. and try to get a hole or someone. (Statement Opinion) ",frustrated,frustrated
Well I'll give you my direct line and my number so you can- you can  get directly to me. (Statement Non Opinion ) ,neutral,neutral
Really? (Question) ,surprise,surprised
yeah. (Answer) ,neutral,neutral
"That would be wonderful, that would be great seriously. (Statement Opinion) ",happy,happy
No problem. (Statement Non Opinion ) ,neutral,neutral
"thank you, what's the number? (Question) ",happy,neutral
ahh one eight hundred three two three (Answer) ,neutral,neutral
three two three (Statement Non Opinion ) ,neutral,neutral
six four nine four (Statement Non Opinion ) ,neutral,neutral
"six four nine four. That would be so great, thank you so much. (Statement Opinion) ",happy,happy
"Yep, So-- (Backchannel) ",-,neutral
You're welcome (Statement Non Opinion ) ,neutral,neutral
oh. (Backchannel) ,xxx,neutral
I'm sorry that it was an inconvenience. (Apology) ,neutral,neutral
"It was horrible, but you've made it much better, thank you very much. Absolutely (Statement Opinion) ",happy,happy
I am glad. (Statement Opinion) ,xxx,happy
Have a good day. (Statement Non Opinion ) ,neutral,neutral
"You too, thank you so much, have a wonderful day. (Statement Non Opinion ) ",happy,happy
bye bye (Greeting) ,neutral,neutral
bye (Greeting) ,xxx,neutral
What's he going to say? Maybe we should tell him before he sees it. (Statement Opinion) ,sad,fear
He saw it. (Statement Non Opinion ) ,sad,neutral
How could he see it?  I was the first one up.  He was still in bed. (Question) ,xxx,surprised
He was out here when it broke. (Answer) ,sad,neutral
When? (Question) ,xxx,neutral
"Around Four this morning, and there was a crack and I looked out.  We're standing right there when I cracked. (Answer) ",sad,neutral
What was he doing out here at four in the morning? (Question) ,xxx,neutral
I don't know.  but When it cracked he ran back into the house and start to cry in the kitchen. (Answer) ,sad,neutral
Did you talk to him? (Question) ,sad,neutral
No.  I figured it was best to leave him alone. (Answer) ,sad,neutral
He cried hard. (Question) ,sad,sad
I could hear him right through the floor of my room. (Answer) ,sad,neutral
He is thinking about him again. (Statement Opinion) ,sad,sad
"It's getting just like after Larry died, he's having dreams, he's walking around at night. (Statement Opinion) ",sad,sad
"I guess, he is. (Agreement) ",sad,neutral
What's the meaning of that? (Question) ,sad,neutral
I don't know the meaning of it.  But I know one thing mom did.  We made a terrible mistake with dad. (Answer) ,sad,frustrated
What? (Question) ,xxx,surprised
Being dishonest with him.  It's the kind of thing that pays off and now it's paying off. (Answer) ,sad,frustrated
"What do you mean, dishonest? (Question) ",xxx,neutral
"You know that Larry's not coming back, and I know it.  So why do we go on letting him think that we believe with him? (Answer) ",sad,frustrated
"What are you going to do, argue with him? (Question) ",xxx,neutral
"No um, I don't want to argue with him, but it's time we realized that nobody else believes that Larry is alive. (Answer) ",frustrated,frustrated
"Why shouldn't he dream about him, walk around during the night, looking for him um.  Do we contradict him?  Do we say outright that we don't have any hope anymore, that we haven't had any for years now? (Question) ",frustrated,frustrated
You can't just say that to him. (Answer) ,xxx,frustrated
We have to say it to him! (Command) ,frustrated,frustrated
"How are you going to prove it, I mean, there's no body and there's no grave.  So what are you going to do? Do you have proof? (Question) ",xxx,frustrated
"For God's sake, mom, three years.  Nobody comes back after three years!  It's insane! (Answer) ",anger,anger
"To you it is, and to me, but not to your father.  Now look, you can talk yourself  blue in the face, but there's no body, and there's no grave, so where are you? (Question) ",frustrated,frustrated
"Sit down, mom.  I want to talk to you. (Command) ",frustrated,neutral
"The trouble with the god damned newspapers, I mean every week, they do a story about some boy's been gone longer than Larry and he comes back, so the next one is gonna-- (Statement Non Opinion ) ",xxx,frustrated
"All right, All right mom.  Listen! (Command) ",frustrated,frustrated
"You know why I asked Annie here, don't you? (Question) ",sad,neutral
why? (Question) ,xxx,neutral
You know. (Answer) ,frustrated,neutral
Well I got an idea.  But what's the story? (Question) ,neutral,neutral
I'm going to ask her to marry me. (Answer) ,neutral,excited
"Well that's nobody's business but yours, Chris. (Statement Opinion) ",xxx,neutral
You know that's not just my business. (Disagreement) ,frustrated,frustrated
"What- What am - what are you going to do, I mean you're old enough to make up your own mind? (Statement Opinion) ",xxx,neutral
So it's all right.  I can go ahead with it then? (Question) ,frustrated,neutral
Well you're want to make sure your father isn't you know going to--lose them (Answer) ,xxx,fear
Then it's not only my business.  Sometimes you infuriate me.  You know that? (Statement Opinion) ,xxx,anger
"You know that?  Isn't it your business too, if I tell dad, and he gets, throws a fit about it?   you have such a talent for ignoring things! (Statement Opinion) ",xxx,anger
I ignore what I got to ignore.  The girl is Larry's girl. (Statement Non Opinion ) ,frustrated,neutral
She's not Larry's girl! (Disagreement) ,xxx,anger
"As far as your father is concerned, he's not dead and you've no right to take his girl. (Statement Non Opinion ) ",xxx,neutral
"Now Chris you can go on from there, but I don't know what to do.  I mean do you know what to do, because I don't. (Statement Non Opinion ) ",frustrated,sad
"I don't know why it is.  But every time I reach out for something I want, I have to pull back because other people will suffer.  My whole bloody life, time after time, after time. (Statement Opinion) ",frustrated,frustrated
"Well you're a considerate fellow, there's nothing wrong with that. (Statement Opinion) ",neutral,neutral
To hell with that! (Disagreement) ,anger,anger
Have you asked Annie yet to marry you? (Question) ,neutral,neutral
I want to get this settled first. (Answer) ,xxx,neutral
"Well how did you know that she will go along with it, I mean maybe she feels the same way as your father? (Question) ",neutral,neutral
"Well, if she does, then that's the end of it, but from her letters it sounds like she's forgotten about it.  I'll find out and then we'll thrash it out with Dad, all right?  Mom, don't avoid me. (Answer) ",xxx,frustrated
"The trouble is you don't see enough women, you never have (Statement Opinion) ",neutral,neutral
"So what, I'm not fast with women. (Agreement) ",frustrated,neutral
Well I just don't see why it has to be Annie. (Statement Non Opinion ) ,neutral,neutral
Because it is. (Statement Non Opinion ) ,frustrated,neutral
"well, that's a good reason, but it doesn't answer a thing. (Statement Non Opinion ) ",xxx,frustrated
"I can't help it.  I know her best.  I was brought up next door to here, the easiest, when I think of somebody for my wife, I think of Annie.  Do you want a diagram? (Question) ",frustrated,frustrated
"No, I don't want a diagram, but, Chris, your father thinks Larry's coming back. (Answer) ",frustrated,neutral
"You marry his girl, and you're pronouncing him dead.  Now what's going to happen to your father, do you know?  I don't. (Statement Non Opinion ) ",sad,fear
"All right, then, Mom. (Acknowledge ) ",frustrated,neutral
Give it some more thought. (Command) ,xxx,neutral
"I've given it three years of thought.  And hope by now that he wouldn't.  Can you forget about Larry an-- and we can have a regular wedding and have everybody be happy.  But that can't happen here, I'm set to get out. (Statement Non Opinion ) ",frustrated,frustrated
What the hell is this? (Question) ,anger,surprised
"I'll get out. I'll get married and live some place else.  Maybe, maybe New York? (Answer) ",frustrated,neutral
Are you crazy? (Question) ,anger,surprised
"I've been a good son for too long, a big sucker.  I'm through with it. (Answer) ",xxx,anger
Wait a minute.  Tell me this.  Do you mean to say that you would leave the business? (Question) ,frustrated,surprised
The business?  The business?  It doesn't inspire me? (Answer) ,anger,frustrated
Must you be inspired? (Question) ,xxx,neutral
"Yes!  I like it an hour a day.  If I had to grub for money all day long, I like to come home to something beautiful.  I want a family.  I want- I want kids.  I want to build something I can give myself to. and Annie is in the center of that, and now where do I find it? (Answer) ",xxx,frustrated
"Don't- you, you can't think like that!  Don't think like that! (Statement Non Opinion ) ",frustrated,fear
Then help me stay here. (Command) ,xxx,neutral
"All right!  But don't think like that, because I mean, what the hell did we do all this for, Chris?  The whole business it's all for you!  The whole shooting match is for you! (Statement Non Opinion ) ",anger,frustrated
I know that Mom. I know.  Just you help me stay here. (Agreement) ,xxx,neutral
"All right, but don't think like that. (Statement Non Opinion ) ",xxx,neutral
I am thinking like that. (Disagreement) ,xxx,frustrated
"I don't understand you, do I? (Question) ",frustrated,neutral
No.  You don't.  I'm a pretty tough guy. (Answer) ,xxx,neutral
"Yeah, I can see that. (Statement Non Opinion ) ",xxx,neutral
Why did you invite her here? (Question) ,xxx,frustrated
Why does that bother you? (Question) ,neutral,neutral
She's been in New York three and a half years.  Why all of the sudden? (Question) ,neutral,frustrated
Well maybe.  Maybe she just wanted to see her again. (Answer) ,neutral,neutral
Nobody comes seven hundred miles just to see. (Statement Non Opinion ) ,xxx,frustrated
"What did you mean? He lived next door to the girl all of his life, why wouldn't he want to see her again? Don't look at me like that, he didn't tell me any more than he told you. (Question) ",neutral,frustrated
He's not going to marry her. (Command) ,xxx,anger
How do you know he is even thinking about it? (Question) ,frustrated,frustrated
It's got that about it. (Answer) ,xxx,sad
"Well, so what. (Question) ",frustrated,frustrated
"What's going on here, Joe? (Question) ",frustrated,frustrated
"Now, listen, Kate, just- (Command) ",frustrated,neutral
She's not his girl.  She knows she's not. (Statement Opinion) ,anger,frustrated
You can't read her mind. (Statement Opinion) ,xxx,frustrated
"She's . . . Then why is she still single.  New York is full of men, why isn't she married?  Probably a hundred people told her she's foolish, but she's waited. (Statement Opinion) ",frustrated,frustrated
How do you know why she's waited? (Question) ,frustrated,frustrated
Because she knows what I know - she's faithful as a rock and my worst moments I think of her waiting and I know again that I'm right. (Answer) ,frustrated,sad
Look.  It's a nice day.  Why are we arguing? (Question) ,frustrated,frustrated
"Nobody in her- this house dares shake her faith.  Strangers might, but not his father, and not his brother. (Statement Opinion) ",frustrated,anger
What do you want me to do? What do you want-- (Question) ,frustrated,frustrated
I want you to pretend like he's coming back! (Answer) ,anger,frustrated
"But, Kate... (Backchannel) ",frustrated,neutral
"Because if he's not coming back, then I'll kill myself. (Statement Opinion) ",anger,fear
[LAUGHTER] (Others) ,frustrated,neutral
"Laugh.  Laugh at me, but what happens the night that she goes to sleep in his bed, and his memorial breaks in pieces? (Statement Non Opinion ) ",anger,fear
Calm yourself. (Command) ,frustrated,neutral
"Believe with me, Joe.  I can't stand alone. (Statement Non Opinion ) ",xxx,sad
Calm yourself! (Command) ,frustrated,frustrated
"Only last week, another boy turned up in Detroit, been missing longer than Larry, you read it yourself. (Statement Non Opinion ) ",anger,neutral
"All right, all right.  Calm yourself. (Command) ",frustrated,frustrated
"You above all, have got to believe, Joe. (Command) ",xxx,frustrated
"Why me, above all? (Question) ",xxx,frustrated
You've got to believe. You've got to-- (Answer) ,sad,sad
What do you mean me above all?  Look at you.  You're shaking! (Statement Non Opinion ) ,anger,surprised
I can't help it! (Statement Opinion) ,anger,sad
"What have I got to hide?  What the hell is the matter with you, Kate? (Question) ",anger,anger
You're the only one I know who loves his parents. (Statement Non Opinion ) ,happy,neutral
I know.  It's going out of style isn't it? (Question) ,happy,frustrated
"No, it's good. (Answer) ",happy,neutral
It's so lovely here.  The air is sweet. (Statement Opinion) ,happy,happy
So you're not sorry you came? (Question) ,xxx,neutral
No.  But I'm not going to stay. (Answer) ,happy,sad
Why? (Question) ,surprise,neutral
Well your mother has much as told me to leave. (Answer) ,xxx,sad
Well-- (Backchannel) ,xxx,neutral
"Well, you saw that! And you.  You've been- (Statement Non Opinion ) ",xxx,frustrated
What? (Question) ,neutral,neutral
Well sort of embarrassed soon as I came. (Answer) ,sad,sad
Well the plan was to kind of sneak up on you over a period of a week or so.  But uh- they take it for granted that we're all set. (Statement Non Opinion ) ,happy,neutral
I figured they would- your mother at least. (Agreement) ,xxx,neutral
How did you know? (Question) ,neutral,neutral
"Well, from her point of view why else would I come? (Answer) ",neutral,neutral
"Well, would you want to?  I guess you know this is why I asked you to come. (Question) ",xxx,excited
I guess this is why I came. (Answer) ,happy,happy
"Anne, I love you.  I love you a great deal.  I love you! (Statement Opinion) ",happy,excited
"I- I -I have no imagination, that's all I know what to say, I-I'm embarrassing you. I I didn't want to tell you here.  I wanted it to be some place different, some place where we could be new to each other you know. (Statement Non Opinion ) ",excited,frustrated
"You feel it's wrong here, don't you- this yard, this chair?  I want you to be ready for me Annie.  I don't want to win you away from anything. (Statement Opinion) ",excited,sad
"Chris, I've been ready for a long time. (Statement Non Opinion ) ",xxx,neutral
"Then, he's gone forever-you're sure? (Question) ",xxx,fear
I almost got married two years ago. (Answer) ,xxx,neutral
Why didn't you? (Question) ,xxx,neutral
You started to write me. (Answer) ,xxx,happy
You felt something that far back? (Question) ,xxx,surprised
Every day since. (Answer) ,xxx,happy
"Annie, why didn't you say something to me? (Question) ",xxx,frustrated
Well I was waiting for you!  I mean I didn't-until then you hadn't written and when you write- when you wrote what did you say?  I mean you sure can be ambiguous Chris. (Answer) ,xxx,frustrated
"Give me a kiss, Ann. Give me a- (Command) ",xxx,excited
Oh God- I kissed Annie! I can't believe I kissed Annie!  How long I've wanted to do this. (Statement Opinion) ,excited,excited
I'll never forgive you.  Why did you wait so long?  All this time I've been wondering if I was a fool for thinking of you! (Statement Opinion) ,happy,anger
"Oh Annie, we're going to live now.  I'm going to make you so happy. (Statement Opinion) ",excited,happy
"Not like that, you're not. (Statement Opinion) ",happy,frustrated
I kissed you. (Statement Non Opinion ) ,xxx,neutral
"Like Larry's brother.  Do it like you, Chris.  Chris, what's the matter? (Question) ",happy,fear
Let's Let's drive someplace.  I- I want to be alone with you. (Statement Non Opinion ) ,xxx,excited
"No, what is it, your mother? (Question) ",xxx,fear
"No, nothing like that. (Answer) ",xxx,neutral
"What is it?  Even in your letters, there is something ashamed. (Question) ",xxx,fear
"Yeah, I suppose I have been.  But it's going from me. (Answer) ",sad,sad
I don't know how to start. (Statement Non Opinion ) ,xxx,frustrated
It wouldn't work like this. (Statement Non Opinion ) ,sad,frustrated
"It's- It's mixed up with so many other things, I- (Statement Non Opinion ) ",sad,frustrated
Remember when I was overseas?  I was in command of the company. (Question) ,sad,neutral
yeah sure. (Answer) ,neutral,neutral
Yeah.  I lost them. (Statement Non Opinion ) ,sad,sad
how many? (Question) ,sad,fear
just about all. (Answer) ,sad,sad
Oh gee. (Backchannel) ,sad,sad
Takes a little time to toss something like that off you know because they weren't just men- (Statement Opinion) ,sad,sad
"for instance, there's this one time.  It had been raining for several days.  And this kid came up to me and gave me his last pair of dry socks. you know, He just put them in my pocket. (Statement Non Opinion ) ",sad,sad
"I know that- that's not a big thing, but it's just the kind of guys I had. They didn't die. They- They killed themselves for each other. (Statement Opinion) ",sad,sad
I mean that exactly that-a little more selfish and they would have still been here today. (Statement Opinion) ,sad,sad
"And I got an ideal, watching them all go down.  Everything was being destroyed see and- (Statement Opinion) ",sad,sad
"but it seemed to me that something new was being created at the same time, a kind of responsibility, man for man.  Do you understand me? (Statement Opinion) ",sad,sad
And to show that-to-to bring that back onto the earth again like a- like a monument.  And everyone would have it standing behind them and- and it would make a difference for them. (Statement Opinion) ,sad,sad
And then I went home and it was incredible.  It had no meaning here. (Statement Non Opinion ) ,sad,sad
"It was all like some kind of bus accident to them.  I went back to work with my dad, in that whole rat race again. (Statement Non Opinion ) ",sad,frustrated
And I felt what you said- ashamed somehow-because nobody had changed at all.  It seemed to make suckers out of a whole lot of guys. and (Statement Opinion) ,sad,sad
"It felt wrong to be alive-to open that bank-book; to buy that new car; to look at that new refrigerator.  I mean, you can take those things out of the war, but if you drive that car, you have to know that that comes from the love that a man has for a man.  And you've got to be a little bit better than that! (Statement Non Opinion ) ",sad,anger
"And if you're not, then it's all just loot and it's got blood on it, and I don't want any of it!  And, I guess that included you. (Statement Opinion) ",xxx,anger
Do you still feel like that? (Question) ,neutral,fear
"I I want you now, Annie. (Answer) ",excited,excited
"Because you can't feel like that anymore Chris, you hear me?  I mean everything that you have, you deserve.  And that includes me.  And your father?  Your father put hundreds of planes in the air, you should be proud.  A man should be paid for that. (Statement Opinion) ",sad,excited
"Oh Annie.  Annie, I am going to make you a fortune! (Statement Opinion) ",happy,excited
What would I do with a fortune? (Question) ,happy,neutral
"What time is it?  Isn't it supposed to start running around midnight?  This is great, isn't it?  Look at this great night we got here.  Couldn't be better-- (Statement Opinion) ",excited,excited
actually I was hoping to go a little bit further up the coast to get away from the lights and the people but I was afraid I will miss it.  How are you doing? (Question) ,excited,fear
Fine. (Answer) ,neutral,neutral
"Is that--no, no no is that foam?  I can't even tell, although if I- if I can't tell, it probably isn't it?  Right It'll probably be unmistakable, but don't you think?  How you doing? (Question) ",excited,neutral
"Oh no, you know what I did.  I forgot my flashlight.  How could I be so stupid?  I can't believe I forgot my flashlight. (Statement Non Opinion ) ",excited,frustrated
What flashlight? (Question) ,neutral,neutral
"The flashlight, the silver one, there's only one, isn't there? (Answer) ",frustrated,neutral
It's not your flashlight. (Statement Non Opinion ) ,frustrated,neutral
Whose is it? (Question) ,frustrated,neutral
It's ours- our flashlight.  It's yours and mine. (Answer) ,xxx,neutral
"Well, Sure. (Agreement) ",frustrated,neutral
"I mean you keep saying ,my flashlight, as if it's somehow just yours.  How's that suppose to make me feel? (Question) ",frustrated,frustrated
"No, Of course, you are right.  Our flashlight.  Me flashlight is you flashlight naturally.  How can we not think to bring it? (Agreement) ",frustrated,frustrated
"Well, I hope the moon stays out.  Well, I wonder do they always wander during a full moon?  I can't remember, wasn't it full last year?  Do you remember? (Question) ",xxx,neutral
yes. (Answer) ,neutral,neutral
"Are you cold?  You want my jacket?  We should have bought a blanket.  Our blanket-.  This is great, isn't it? (Statement Non Opinion ) ",excited,happy
"I didn't even think to bring a six-pack.  A six-pack would be just the thing right about now. I can't believe I forgot.  And look at kid, I am surprise I make it out of the house about flies it. (Statement Non Opinion ) ",excited,frustrated
[LAUGHTER] I wonder if they can hear me talk or if they can feel the vibration in the sand when we are moving around (Statement Opinion) ,excited,happy
I am cold. (Statement Non Opinion ) ,xxx,neutral
you want my jacket? (Question) ,excited,neutral
"It's after eleven, let's go home. (Statement Non Opinion ) ",neutral,neutral
"Are you kidding?  We'd miss it. We just got here, what's the point of coming out here if we are just going to leave. (Question) ",xxx,surprised
There is no point in coming out here. (Answer) ,frustrated,neutral
Right. (Backchannel) ,excited,neutral
That's my point. (Statement Non Opinion ) ,xxx,neutral
That's my point too. (Agreement) ,xxx,neutral
So let's go. (Command) ,frustrated,frustrated
"No, no, no.  That's not my point.  My point is what's the point in coming down here if we are just going to turn around and go home.  Don't you want to see it? (Disagreement) ",xxx,frustrated
Not particularly. (Answer) ,neutral,neutral
Why not? (Question) ,frustrated,neutral
I just don't. (Answer) ,neutral,neutral
"Honey, this is a natural phenomenon. I mean,  It happens like once a year.  It's a great opportunity. (Statement Non Opinion ) ",excited,excited
"Think about people in Kansas, they have to get a- a plane reservation and a hotel reservation just to see this uh- but we are just forty minutes away.  Too good to pass up. (Statement Non Opinion ) ",excited,excited
"Pass up what?  Its little fish, one month on the beach and they flop around and they swim away and then they die. (Statement Non Opinion ) ",frustrated,frustrated
"Yeah but that moment on the beach is the highlight of their little lives, all that flopping around is laying eggs or what you- mating or spawning or something like that. (Statement Non Opinion ) ",excited,excited
This is a big night for these guys.  Life's last orgy. Yeah (Statement Opinion) ,excited,excited
"What are you so excited about?  I mean it's not--it's not rocket science we are talking about, its fish.  Its fish nobody even eats. (Statement Opinion) ",frustrated,frustrated
Yeah they do. (Disagreement) ,xxx,neutral
Augie. (Backchannel) ,-,neutral
"Okay, but they are fish that do something that no other fish do.  Like the swallows returning to Capistrano, or the lemmings jumping off a cliff you know like that. (Statement Non Opinion ) ",excited,excited
There's There's mystery here and magic.  A little bit of the unexplainable.  I can't understand how you could not be interested. (Statement Opinion) ,excited,excited
I am just not. (Statement Non Opinion ) ,neutral,neutral
For real? (Question) ,surprise,surprised
Yes. (Answer) ,neutral,neutral
"I don't get it, the first time we came out here, you said it was the best night of your life and last year I remember distinctly you were so excited that you stuff your toe pushing me out of the door and you didn't notice it until you got into the car. (Statement Non Opinion ) ",xxx,frustrated
"Last year you also remember, our shoes got wet and I got sand in my panties and we got into a big fight.  You had a sore throat and we did not see the grunions. (Statement Non Opinion ) ",frustrated,neutral
We weren't in a good spot. (Statement Opinion) ,frustrated,neutral
We didn't see them the first time either. (Statement Non Opinion ) ,frustrated,neutral
We just weren't in a good spot.  This is a much better spot.  I got a great instinct for these things. (Statement Opinion) ,xxx,excited
"Look there, what's that?  Is it?  Is that a--Ah, it's a seaweed isn't it? (Question) ",excited,excited
"Oh, this is great.  I wouldn't miss this for the world.  I mean think about this. I know you are not interested but think about this for a second. (Command) ",excited,excited
"Somewhere out there, is a giant mass of silver fish all swimming in this direction.  They don't know why and we don't know why. They didn't get an invitation.  And it wasn't a vote- it wasn't a decision.  And nobody sent them a map or anything like that. (Statement Non Opinion ) ",excited,excited
It's just some little instinctual time-release firecracker that went off inside them and all this one they turn around and form a line as long as the California coast and just started swimming. (Statement Non Opinion ) ,excited,excited
"They are swimming right now as if it's the only thing that matters.  It's- It's single mindedness with no mind, urgency that's pure urge. It's- They don't know what drives them.  They- They don't give any name or ask any question. They just turn as one and started to swim to the very point we are standing right now for a massive celebration of sex and death.  God, it's giving me goose bumps all over my hairs on my arm. popping up. (Statement Non Opinion ) ",excited,excited
That's the wind. (Statement Non Opinion ) ,xxx,neutral
"Well, So what do you think? (Question) ",excited,neutral
"Well, so?  What do you think? (Question) ",excited,neutral
About what? (Question) ,xxx,neutral
What I was just saying. (Answer) ,frustrated,neutral
It's ridiculous. (Statement Opinion) ,xxx,frustrated
It certainly is not. It's slightly exaggerated scientific fact. (Disagreement) ,neutral,frustrated
"It's PR, somebody sold you a bill of goods that this wonderful event is going to occur on the beach. (Statement Opinion) ",xxx,frustrated
"I am not the only one, look at all these people. (Disagreement) ",neutral,frustrated
"Yeah, they are all told the same thing.  They are all told that you know.  Gets them excited and they can't wait and that if they just get in on the right spot, than you than maybe life will start (Statement Opinion) ",xxx,frustrated
Are we talking about the same thing? (Question) ,xxx,surprised
I am sorry.  It's just fish to me. (Answer) ,frustrated,sad
"Carla, can I ask you a question?  Now don't be upset, are you having a period? (Question) ",neutral,neutral
"God damn it, Augie.  Why do you always ask things like that?  It's so insulting. (Answer) ",anger,anger
What's bugging you? (Question) ,frustrated,neutral
I just had a different idea of what this evening is going to look like. (Answer) ,frustrated,sad
"There's nothing to it.  We come down here.  The grunion arrives and they do their little fish thing.  And we say, Oh, wow.  Look at the little fish.  They go home, we go home. (Statement Non Opinion ) ",frustrated,neutral
"For heaven's sake Augie, grow up we are not going to see the grunions. (Statement Opinion) ",frustrated,frustrated
Why not? (Question) ,frustrated,neutral
We never do.  Have we ever?  We never have. (Question) ,frustrated,frustrated
"We miss them twice, it's not ever. (Answer) ",frustrated,frustrated
"Twice is every time we tried, that's ever. (Statement Non Opinion ) ",frustrated,neutral
Well We will see them this year. (Statement Opinion) ,neutral,neutral
"No, we won't.  Augie it's like waiting for Santa Claus to come.  I feel like I am going to spend my entire life standing on the beach with my eyes wide open and my hands clasp expectantly in front of me waiting for the fish to show up and the fish will not show up. (Disagreement) ",frustrated,sad
I thought you wanted to see it. (Statement Opinion) ,frustrated,neutral
"I did, I do want to see it.  I always want to see it, Augie. (Statement Opinion) ",frustrated,sad
"It's just fish, it's nothing to get traumatize over. (Statement Opinion) ",frustrated,frustrated
"For heaven's sake, this is not about fish. (Statement Non Opinion ) ",frustrated,frustrated
"Okay, I been trying to work this backwards but I can't seem to pinpoint a moment when we took a turn for the worst here. (Statement Non Opinion ) ",frustrated,neutral
"When you are on the phone with Marge, everything was fine.  Dinner was okay.  Doing the dishes was no problem. Let's see, I took a shower and you were watching the news and you said the grunions are running tonight and I said, great, let's go I am feeling lucky. (Statement Non Opinion ) ",xxx,neutral
"Right, so I am putting on my jacket and putting up the animals and pulling the car out of the garage. (Statement Non Opinion ) ",xxx,neutral
"Augie, do you remember the first time we came to see it?  It was about four years ago right after we got married and we thought I was pregnant. (Statement Non Opinion ) ",sad,neutral
"We had a bottle of champagne but no glasses and you ask me to dance so we took off our shoes and while we were dancing, you said the most intimate things right in my ears so I could feel them as much as hear them. (Statement Non Opinion ) ",sad,happy
"And I remember thinking, Finally, finally.  I am as happy as I am supposed to be. (Statement Non Opinion ) ",happy,happy
"Wait a minute, I got it. (Command) ",neutral,neutral
"Dancing barefoot in the sand, drinking champagne from the bottle. (Statement Non Opinion ) ",sad,neutral
"It was in the car, right?  When we were passing Knickerbocker Liquor Locker, you said, Let's get some champagne.  And I said time wasting or something like that.  Right? of course. (Question) ",xxx,neutral
I rather not remember some things.  I rather not hope for some things. (Answer) ,sad,sad
"Okay, all right I got it.  You wanted it to be like the other time, okay no problem. Listen, You want to dance? (Question) ",excited,neutral
No. (Answer) ,sad,frustrated
You want me to go get some champagne? (Question) ,excited,neutral
No. (Answer) ,sad,frustrated
Take off our shoes? (Question) ,excited,neutral
